id,name
1,Choose Your Destiny
2,Adventures in Wild Space
3,Flight of the Falcon
4,Servants of the Empire
5,The Clone Wars
6,Rebels
7,Resistance
8,Aftermath
9,Battlefront
10,Join the Resistance
11,Obi-Wan & Anakin
12,Tie Fighter
13,Chewbacca
14,Darth Vader
15,Age of Republic
16,Age of Rebellion
17,Darth Vader: Dark Lord of the Sith
18,Doctor Aphra
19,Jedi of the Republic: Mace Windu
20,Kanan
21,Lando
22,Lando: Double or Nothing
23,Poe Dameron
24,Princess Leia
25,Shattered Empire
26,Thrawn
27,Marvel's Star Wars (2015)
28,The Force Awakens (comic)
29,Rogue One: A Star Wars Story (comic)
30,Age of Resistance
31,Galaxy's Edge
32,Darth Maul: Son of Dathomir
33,Han Solo
34,Darth Maul
35,Captain Phasma
36,Forces of Destiny
37,Tales from Vader's Castle
38,Han Solo - Imperial Cadet
39,Vader - Dark Visions
40,Target Vader
41,Jedi: Fallen Order - Dark Temple
42,Allegiance
43,Star Wars Adventures
44,The Mandalorian
45,The Last Jedi (comic)
46,Return to Vader's Castle
47,Solo: A Star Wars Story (comic)
48,Destroyer Down
49,The Rise of Kylo Ren
50,Marvel's Star Wars (2020)
51,Star Wars (movies)
52,Alphabet Squadrion (trilogy)
53,Ascendency Trilogy
54,Darth Vader (2020)
55,Bounty Hunters
56,Doctor Aphra (2020)
57,The Clone Wars - Battle Tales
58,The Rise of Skywalker (comics)
59,The High Republic
60,Star Wars Adventures (2020)
61,The Bad Batch
62,War of the Bounty Hunters
